"Date","AAPL","AMZN","EBAY","FB","GRPN","MSFT","NFLX","TWTR","YELP","YHOO"
"2014-01-02",77.39,397.97,53.94,54.71,11.85,36.17,362.82,67.5,67.92,39.59
"2014-01-03",75.69,396.44,53.26,54.56,12.08,35.93,363.1,69,67.66,40.12
"2014-01-06",76.1,393.63,51.78,57.2,11.89,35.17,359.57,66.29,71.72,39.93
"2014-01-07",75.56,398.03,52.87,57.92,11.88,35.44,339.5,61.46,72.66,40.92
"2014-01-08",76.04,401.92,52.37,58.23,11.78,34.81,340.99,59.29,78.42,41.02
"2014-01-09",75.07,401.01,52.07,57.22,11.44,34.58,337.05,57.05,78.42,40.92
"2014-01-10",74.57,397.66,52.16,57.94,11.56,35.08,332.14,57,82.21,41.23
"2014-01-13",74.96,390.98,52.54,55.91,10.98,34.05,336.81,57.82,75.84,39.99
"2014-01-14",76.45,397.54,52.96,57.74,11.41,34.83,337.96,58.21,81.4,41.14
"2014-01-15",77.98,395.87,53.79,57.6,11.04,35.78,330.38,61.57,80.93,41.07
"2014-01-16",77.55,395.8,53.74,57.19,10.98,35.91,331.68,60.57,81.15,40.34
"2014-01-17",75.65,399.61,53.2,56.3,10.84,35.41,330.04,62.2,82.36,40.01
"2014-01-21",76.82,407.05,54.15,58.51,10.95,35.21,328.71,62.53,82.21,39.52
"2014-01-22",77.16,404.54,54.41,57.51,10.75,34.97,333.73,62.44,81.28,40.18
"2014-01-23",77.82,399.87,54.94,56.63,10.64,35.1,388.72,62.8,79.45,39.39
"2014-01-24",76.4,387.6,54.37,54.45,10.28,35.83,386.08,61.74,75.99,37.91
"2014-01-27",77.02,386.28,52.88,53.55,10,35.07,381.23,57.91,72.44,36.65
"2014-01-28",70.87,394.43,53.16,55.14,10.52,35.3,406.77,60.44,76.09,38.22
"2014-01-29",70.06,384.2,52.19,53.53,10.43,35.68,400.42,59.45,71.95,34.89
"2014-01-30",69.93,403.01,53.18,61.08,10.88,35.88,404.67,63.47,75.47,35.31
"2014-01-31",70.04,358.69,53.2,62.57,10.46,36.83,409.33,64.5,75.95,36.01
"2014-02-03",70.17,346.15,52.39,61.48,10.24,35.51,404.38,65.25,74.49,34.9
"2014-02-04",71.19,347.95,52.91,62.75,10.51,35.38,405.91,66.32,77.79,35.66
"2014-02-05",71.72,346.45,53.52,62.19,10.46,34.87,404.42,65.97,75.23,35.49
"2014-02-06",72.14,354.59,54.37,62.16,10.37,35.22,407.91,50.03,89.46,36.24
