"Date","AAPL","AMZN","EBAY","FB","GRPN","MSFT","NFLX","TWTR","YELP","YHOO"
"2014-01-02",58671200,2137800,9974200,43195500,14573100,30632200,1760800,29246400,1910400,21504200
"2014-01-03",98116900,2210200,9589200,38246200,24248600,31134800,1545300,33207200,1621500,15755200
"2014-01-06",103152700,3170600,17905000,68852600,29973400,43603700,2214500,27243700,3804500,12467500
"2014-01-07",79302300,1916000,14075000,77207400,33201900,35802800,5166800,31748400,2778300,14100000
"2014-01-08",64632400,2316500,13033500,56682400,19495200,59971700,2857300,27263200,5579400,18638200
"2014-01-09",69787200,2103000,10528200,92253300,15323600,36516300,2429600,31092100,4287300,12897300
"2014-01-10",76244000,2679500,20052800,42449500,10324400,40548800,2319700,22375900,3722800,8721700
"2014-01-13",94623200,2844900,19052900,63010900,17451500,45901900,3891000,20978100,4423300,16047200
"2014-01-14",83140400,2340100,12843000,37503600,12523100,41623300,2820000,14778000,3747400,14473900
"2014-01-15",97909700,2678300,13862700,33663400,15171300,44812600,5776000,21537300,2843500,9475500
"2014-01-16",57319500,2601200,11266700,34541800,19342100,38018700,3019400,16589400,1971100,16348200
"2014-01-17",106684900,4505100,22722400,40849200,12803900,46267500,2345300,28391100,2604700,19262500
"2014-01-21",82131700,3122100,15951200,48669200,9366200,31567300,3602900,13733200,2037600,21436400
"2014-01-22",94996300,2060500,35458900,61352900,13044800,21904300,6906000,12039000,2285200,12994600
"2014-01-23",100809800,3025400,61894800,47951800,9101100,43954000,13040000,10183700,2646600,15384300
"2014-01-24",107338700,4458400,24500700,55200700,12719200,76395500,5066700,12942200,2621600,26309000
"2014-01-27",138719700,3936800,22439100,73924100,16708900,44420800,4646700,18982700,5578700,26728000
"2014-01-28",266380800,2894500,12917500,48191200,10742400,36205500,6227200,9346800,2391000,39765300
"2014-01-29",125702500,3382300,16566900,92995600,13375400,52745900,4138300,9140000,2921300,67190500
"2014-01-30",169625400,10473900,16636200,150178900,11554800,35036300,2625600,17424300,2738100,32244700
"2014-01-31",116199300,16154800,12358800,87794600,12043900,93162300,3375000,15498800,2230100,30072400
"2014-02-03",100366000,10280800,16855000,74866600,14636500,64063100,2877900,17890300,2827300,22195200
"2014-02-04",94170300,4812900,10971100,45985500,9528600,54697900,2580900,13017400,2942300,21082500
"2014-02-05",82086200,4435400,16766800,51685100,11216600,55814400,2394700,31504900,6329800,14022900
"2014-02-06",64441300,3335700,15126900,42086500,11929000,35351800,1836000,64856500,13768500,14250000
"2014-02-07",92570100,4330500,9746400,60704300,12490100,33260500,4703000,32204400,4658300,16178500
"2014-02-10",86389800,3449700,9675300,43666100,10794600,26767000,1973200,15857400,6833500,17642900
"2014-02-11",70564200,3222100,11677400,45675600,41137100,32141400,1952500,13162900,4614000,18348000
"2014-02-12",77025200,6587700,11474100,47282100,11704200,27051800,2239000,20040400,3392600,14088500
"2014-02-13",76849500,4175000,11783800,61911700,8975900,37635500,2671500,26009500,2661400,12088100
"2014-02-14",68231100,3520200,9673400,36694900,9885900,31407500,1712200,12512400,2193200,9975800
"2014-02-18",65062900,4998000,9814800,43809900,19169000,32834000,2215400,10719500,2511200,12096400
"2014-02-19",78442000,4168100,9642100,62087100,18011200,29750400,2290200,25772100,3135200,15851900
"2014-02-20",76464500,3492800,7981100,130928900,45346700,27526100,1709300,12097500,2702500,11155900
"2014-02-21",69696200,4210000,10380800,70932400,139474000,38021300,1926200,7714300,2784300,12351900
"2014-02-24",72227400,3644700,18956000,76620300,58098600,32085100,3720500,8451200,4089300,15738900
"2014-02-25",57988000,3736400,10197200,52077000,65591500,30736500,2671500,9288500,2643000,9756900
"2014-02-26",69054300,3622100,18457100,55322700,30947000,41041800,2144300,12116000,4187600,15778900
"2014-02-27",75470500,3104900,21803700,41653700,40295300,33903400,1472100,6537700,3274700,15489400
"2014-02-28",92992200,3882000,16362400,66783700,21780500,41215000,2250200,8137200,4856400,16957100
"2014-03-03",59695300,2798300,10489400,56824100,20953300,29717500,1932600,9602300,2955200,14714700
"2014-03-04",64785000,2704400,9955600,42013500,23245800,26802400,1769700,6706300,3243500,16139400
"2014-03-05",50015700,3848300,9559100,74567700,13997500,20520100,1552700,5672000,3585100,12536800
"2014-03-06",46372200,2926600,12027700,46026500,12831400,23582200,1687000,9005700,2296100,10626700
"2014-03-07",55182400,2279800,9094700,38927000,15519700,26591600,1653400,7311500,3042500,14455500
"2014-03-10",44646000,2105800,9759100,59871600,14964700,19006600,2205600,5759600,3508000,11819200
"2014-03-11",69806100,2246100,10239500,59408300,12946700,25216400,1492600,11762600,3425700,12592300
